"Source:","/home/bobd/Eagle/projects/eagle/Adafruit-Feather-M0-RFM-LoRa-PCB/Adafruit Feather M0 RFMxx/Adafruit Feather M0 RFMxx.sch"
"Date:","Tue 08 Jan 2019 07:19:25 PM CST"
"Tool:","Eeschema 5.0.2-bee76a0~70~ubuntu18.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","41"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C2, C4, ","2","22pF","CAP_CERAMIC0603_NO","Adafruit Feather M0 RFMxx:0603-NO","",""
"C5, C9, ","2","10uF","CAP_CERAMIC0805-NOOUTLINE","Adafruit Feather M0 RFMxx:0805-NO","",""
"C6, C8, C3, ","3","10µF","CAP_CERAMIC0805-NOOUTLINE","Adafruit Feather M0 RFMxx:0805-NO","",""
"C7, C14, C1, ","3","1uF","CAP_CERAMIC0603_NO","Adafruit Feather M0 RFMxx:0603-NO","",""
"CHG1, ","1","ORANGE","LED0805_NOOUTLINE","Adafruit Feather M0 RFMxx:CHIPLED_0805_NOOUTLINE","",""
"D1, ","1","MBR120","DIODE-SCHOTTKYSOD-123","Adafruit Feather M0 RFMxx:SOD-123","",""
"JP1, ","1","HEADER-1X16ROUND","HEADER-1X16ROUND","Adafruit Feather M0 RFMxx:1X16_ROUND","",""
"JP2, ","1","HEADER-1X1ROUND","HEADER-1X1ROUND","Adafruit Feather M0 RFMxx:1X01_ROUND","",""
"JP3, ","1","HEADER-1X12","HEADER-1X12","Adafruit Feather M0 RFMxx:1X12_ROUND","",""
"JP5, ","1","HEADER-1X3ROUND","HEADER-1X3ROUND","Adafruit Feather M0 RFMxx:1X03_ROUND","",""
"JP7, ","1","SM04B-SRSS-TB(LF)(SN)","SM04B-SRSS-TB(LF)(SN)","SM04B-SRSS-TB(LF)(SN):SM04B-SRSS-TB(LFSN)","JST (JAPAN SOLDERLESS TERMINALS) - SM04B-SRSS-TB(LF)(SN) - CONNECTOR, HEADER, SMT, R/A, 1MM, 4WAY",""
"L1, ","1","RED","LED0805_NOOUTLINE","Adafruit Feather M0 RFMxx:CHIPLED_0805_NOOUTLINE","",""
"R2, ","1","1K","RESISTOR_0603_NOOUT","Adafruit Feather M0 RFMxx:0603-NO","",""
"R3, R1, ","2","100k","RESISTOR_0603_NOOUT","Adafruit Feather M0 RFMxx:0603-NO","",""
"R4, ","1","10K","RESISTOR_0603_NOOUT-Adafruit_Feather_M0_Express-eagle-import","Adafruit Feather M0 RFMxx:0603-NO","",""
"R6, ","1","100K","RESISTOR_0603_NOOUT","Adafruit Feather M0 RFMxx:0603-NO","",""
"R7, ","1","2.2K","RESISTOR_0603_NOOUT","Adafruit Feather M0 RFMxx:0603-NO","",""
"R8, ","1","10K\","RESISTOR_0603_NOOUT","Adafruit Feather M0 RFMxx:0603-NO","",""
"SW1, ","1","SPST_TACT-KMR2","SPST_TACT-KMR2","Adafruit Feather M0 RFMxx:KMR2","",""
"TP1, TP2, ","2","TESTPOINTROUND1.5MM","TESTPOINTROUND1.5MM","Adafruit Feather M0 RFMxx:TESTPOINT_ROUND_1.5MM","",""
"U1, ","1","2MB Flash","SPIFLASH_SOIC8208MIL-Adafruit_Feather_M0_Express-eagle-import","Adafruit Feather M0 RFMxx:SOIC8_208MIL","",""
"U2, ","1","AP2112K-3.3","VREG_SOT23-5","Adafruit Feather M0 RFMxx:SOT23-5","",""
"U3, ","1","MCP73831T-2ACI/OT","MCP73831_2","Adafruit Feather M0 RFMxx:SOT23-5","",""
"U4, ","1","RFM69HCW","RFM69HCW_SMT","Adafruit Feather M0 RFMxx:RFMHCW_SMT","",""
"US4, ","1","ATSAMD21G18_QFN","ATSAMD21J_QFN","Adafruit Feather M0 RFMxx:TQFN48_7MM","",""
"US31, US32, ","2","MOUNTINGHOLE2.5","MOUNTINGHOLE2.5","Adafruit Feather M0 RFMxx:MOUNTINGHOLE_2.5_PLATED","",""
"US34, US35, ","2","FIDUCIAL""""","FIDUCIAL""""","Adafruit Feather M0 RFMxx:FIDUCIAL_1MM","",""
"X1, ","1","JSTPH","CON_JST_PH_2PIN","Adafruit Feather M0 RFMxx:JSTPH2","",""
"X2, ","1","32.768","XTAL-3.2X1.5","Adafruit Feather M0 RFMxx:XTAL3215","",""
"X3, ","1","microUSB","USB_MICRO_20329_V2","Adafruit Feather M0 RFMxx:4UCONN_20329_V2","",""
"X4, ","1","uFL","ANTENNA_U.FL","Adafruit Feather M0 RFMxx:U.FL","",""
